,prot__A,prot__C,prot__D,prot__E,prot__F,prot__G,prot__H,prot__I,prot__J,prot__K,prot__L,prot__M,prot__N,prot__O,day__Fri,day__Mon,day__Sat,day__Sun,day__Thu,day__Tue,day__Wed,compounds,inpufields,iterations,nunpending,hour,Class
20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,147,72,20,0,4.65,1
21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,150,81,20,0,5.266667,1
22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1501,137,20,0,14.1,0
23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,154,114,20,0,10.166667,1
24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,149,111,20,0,10.866667,1
25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,145,112,20,0,16.6,1
26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,155,116,20,0,10.433333,1
27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,157,112,20,0,10.0,1
28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,154,76,20,0,20.866667,1
29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,157,157,20,0,17.933333,1
30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,173,166,20,0,13.816667,1
31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,180,173,20,0,15.816667,1
32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,171,174,20,0,14.45,1
33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,236,224,20,0,11.216667,1
34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,233,861,10,0,17.7,1
35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29,25,20,0,9.95,1
36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,231,127,20,0,10.483333,1
37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,239,141,20,0,15.733333,1
38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,244,210,20,0,15.916667,0
39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,231,221,20,0,11.3,1
40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,234,32,20,0,11.383333,1
41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,250,19,20,0,11.4,1
42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,249,31,20,0,11.466667,1
43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,250,95,20,0,10.733333,1
44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,256,69,10,0,14.616667,1
45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,15,20,0,16.3,1
46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,19,20,0,10.216667,1
47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,17,20,0,16.45,1
48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,19,20,0,16.1,1
49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,26,20,0,17.233333,1
50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,22,20,0,9.233333,1
51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,23,20,0,9.9,1
52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,24,20,0,10.666667,1
53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,24,20,0,10.15,1
54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,308,289,20,0,15.5,0
55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,303,299,20,0,16.0,0
56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,300,299,20,0,14.5,0
57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,302,299,20,0,14.65,0
58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,328,35,20,0,13.783333,1
59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,33,20,0,13.883333,1
60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,35,20,0,10.65,1
61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,410,33,20,0,10.55,1
62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,55,48,20,0,10.466667,1
63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,45,20,0,11.95,1
64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47,43,20,0,12.216667,1
65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,498,141,20,0,13.933333,0
66,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,38,20,0,10.283333,1
67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,45,20,0,16.333333,1
68,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46,42,20,0,10.066667,1
69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,47,20,0,16.183333,1
70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,49,44,20,0,16.133333,1
71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,48,50,20,0,16.583333,1
72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52,51,20,0,17.25,1
73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,45,20,0,13.133333,1
74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,563,155,20,0,13.516667,0
75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,61,53,20,0,11.583333,1
76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,60,20,0,9.35,1
77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,62,20,0,15.15,1
78,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,70,60,20,0,10.083333,1
79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,71,20,0,14.116667,1
80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,70,20,0,21.65,1
81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,77,70,50,0,13.133333,1
82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,789,30,20,0,21.666667,1
83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,790,779,20,0,18.183333,2
84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,775,784,20,0,14.083333,2
85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,785,780,20,0,14.416667,2
86,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,787,778,20,0,14.2,2
87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,779,786,20,0,14.466667,2
88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,76,77,20,0,10.816667,1
89,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,891,15,20,0,17.45,1
90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,894,207,20,0,17.55,0
91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,883,269,20,0,17.55,0
92,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,885,52,20,0,17.583333,0
93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,10,20,0,11.216667,1
94,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,10,20,0,13.216667,1
95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,10,20,0,13.766667,1
96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,120,338,20,3340,13.25,0
97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,130,397,20,160,16.8,0
98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,129,373,20,118,10.666667,0
99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,141,373,20,92,9.433333,1
100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,134,113,20,0,9.566667,1
101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,135,165,20,281,9.516667,1
102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,130,311,20,112,9.483333,1
103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,135,369,20,160,9.516667,1
104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,139,22,20,82,9.533333,1
105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152,392,10,1,15.166667,1
106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,157,397,10,1,10.45,1
107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,153,392,10,0,15.733333,0
108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,161,497,100,0,13.65,2
109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,184,533,20,86,16.733333,0
110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,205,38,20,8,11.466667,1
111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,215,600,20,0,17.466667,1
112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,204,605,20,0,17.916667,1
113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,216,604,20,0,15.2,0
114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,228,610,20,0,15.233333,0
115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,213,651,20,0,14.933333,0
116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,227,650,20,0,14.933333,0
117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,228,538,20,0,14.933333,0
118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,220,541,20,0,11.483333,0
119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,230,544,20,0,14.933333,0
120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,223,619,20,0,15.266667,0
121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,223,624,20,0,15.25,0
122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,226,654,20,0,18.183333,0
123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,229,652,20,0,9.7,1
124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,226,651,20,0,16.616667,0
125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,221,661,20,49,13.816667,0
126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,236,666,20,0,14.133333,1
127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,237,532,200,0,18.15,2
128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,237,635,20,0,7.916667,0
129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,231,690,20,11,14.866667,1
130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,233,699,20,0,15.033333,1
131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,252,699,20,0,11.616667,1
132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,79,20,0,10.2,1
133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,74,20,0,10.45,1
134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,76,20,0,14.066667,1
135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,273,537,200,0,17.033333,3
136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,286,534,200,0,18.1,3
137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,326,895,20,21,15.15,0
138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3400,4638,20,0,21.916667,3
139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3404,2574,20,0,20.4,3
140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3405,2082,20,0,10.866667,3
141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3397,4470,20,0,21.516667,3
142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3398,4467,20,0,0.883333,3
143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3496,977,20,0,7.5,3
144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3483,985,20,0,7.333333,3
145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3493,1158,20,0,7.983333,3
146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3498,623,20,0,11.6,3
147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3484,462,20,0,11.583333,3
148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3667,431,20,0,8.35,3
149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3680,431,20,0,12.95,3
150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,370,774,50,0,11.4,2
151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3744,191,20,1,14.65,0
152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3768,248,20,0,9.616667,2
153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3768,247,20,0,10.566667,2
154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,400,1180,20,0,5.583333,2
155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,404,1186,20,0,5.45,2
156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,406,94,20,0,11.6,1
157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,405,1186,20,0,6.266667,2
158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,395,92,20,0,12.266667,1
159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,407,1197,20,0,10.216667,2
160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,413,921,20,24,9.016667,0
161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,410,66,20,3,12.333333,2
162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,415,83,20,0,20.366667,1
163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,413,412,20,0,10.616667,2
164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,412,416,20,0,4.866667,2
165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,413,51,20,0,5.333333,1
166,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,411,63,20,0,5.166667,1
167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,422,934,20,0,10.5,2
168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,423,953,20,0,10.55,2
169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,424,166,20,0,9.066667,1
170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,417,195,20,0,10.533333,0
171,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,417,234,20,0,10.466667,0
172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,420,26,20,0,10.366667,1
173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,425,53,20,0,10.616667,1
174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,424,213,20,0,6.783333,0
175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4505,155,20,6,16.583333,0
176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,461,684,20,0,14.85,2
177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,457,689,20,0,14.05,2
178,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,458,179,10,3,10.733333,0
179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,460,185,10,3,10.9,0
180,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,455,184,10,3,14.466667,2
181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,468,306,20,0,19.333333,1
182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,471,440,20,23,15.666667,1
183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,467,663,20,22,19.683333,0
184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,529,744,20,21,18.383333,0
185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,533,576,20,0,14.0,0
186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,529,615,20,0,7.666667,0
187,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,52,171,20,0,6.2,1
188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,201,20,0,15.866667,1
189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,877,865,20,17,14.8,0
190,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,99,938,20,0,17.933333,1
191,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1056,2783,10,0,5.8,1
192,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1068,2781,20,0,13.733333,1
193,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1063,4775,10,0,14.25,1
194,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1057,1837,10,0,5.383333,1
195,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,106,3357,20,0,12.533333,1
196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,114,3359,20,0,14.016667,1
197,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,113,6204,20,0,13.216667,1
198,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,131,6056,20,0,17.166667,1
199,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,129,2417,20,0,12.7,1
200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,143,2504,20,0,17.4,1
201,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,142,6537,20,0,16.766667,1
202,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,141,1200,20,0,19.45,1
203,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,133,1203,20,0,19.4,1
204,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,143,6644,20,0,10.65,1
205,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,141,6661,20,0,9.4,1
206,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,138,777,20,0,9.566667,1
207,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,130,1075,20,0,9.5,1
208,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,136,2520,20,0,9.5,1
209,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,135,2797,20,0,9.466667,1
210,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,142,142,20,0,9.516667,1
211,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1408,2755,10,0,10.933333,1
212,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1409,2759,10,0,12.766667,1
213,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1410,2761,10,0,10.15,0
214,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,147,10521,20,0,7.95,1
215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,155,2001,20,0,13.766667,1
216,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152,10656,20,0,12.95,1
217,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,148,1538,20,0,13.216667,1
218,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,143,3664,20,0,18.216667,1
219,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,152,3696,20,0,18.516667,1
220,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,156,6060,20,0,17.466667,1
221,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,162,3656,20,0,18.433333,1
222,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,170,3637,20,0,17.333333,1
223,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,165,7580,100,0,13.533333,0
224,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,173,737,20,0,1.4,1
225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,177,8016,20,0,16.716667,1
226,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,193,262,20,0,11.45,1
227,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,208,7061,20,0,17.6,1
228,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,215,1116,20,0,17.7,1
229,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,221,15420,20,0,13.45,1
230,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,218,15415,20,0,13.45,1
231,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,226,19876,20,0,15.2,1
